DATE,GDP,MORTGAGE30US,MSPUS,TLRESCONS,MSACSR,PERMIT,INTDSRUSM193N,EVACANTUSQ176N,CSUSHPISA
1/1/2003,11174.129,5.840769231,186000,421328.6667,4.2,1806.333333,2.25,14908,129.321
1/4/2003,11312.766,5.506923077,191800,429308.6667,3.833333333,1837.666667,2.166666667,15244,131.756
1/7/2003,11566.669,6.033846154,191900,458890,3.633333333,1937.333333,2,15614,135.013
1/10/2003,11772.234,5.919285714,198800,491437.3333,3.966666667,1972.333333,2,15654,138.8356667
1/1/2004,11923.447,5.5975,212700,506856.3333,3.7,1994.666667,2,15895,143.2986667
1/4/2004,12112.815,6.106153846,217600,526483.3333,3.9,2080,2.083333333,16079,148.209
1/7/2004,12305.307,5.894285714,213500,552939,4.3,2069.666667,2.5,15656,152.7166667
1/10/2004,12527.214,5.736153846,228800,561413.3333,4.1,2086,3,15361,157.5353333
1/1/2005,12767.286,5.768461538,232500,590790.3333,4.266666667,2105,3.5,15748,163.4813333
1/4/2005,12922.656,5.708461538,233700,611957,4.266666667,2137.666667,4,16061,169.3473333
1/7/2005,13142.642,5.763846154,236400,642273.6667,4.466666667,2228.333333,4.5,15883,174.58
1/10/2005,13324.204,6.226153846,243600,670433,4.8,2169.333333,5,15823,179.5393333
1/1/2006,13599.16,6.246923077,247700,680067.3333,5.766666667,2157,5.583333333,16234,183.3243333
1/4/2006,13753.424,6.602307692,246300,639389,6.266666667,1923.333333,6,16513,183.9973333
1/7/2006,13870.188,6.56,235600,591320.6667,6.9,1713.333333,6.25,16769,182.8193333
1/10/2006,14039.56,6.243846154,245400,558263.6667,6.8,1581,6.25,16894,183.6493333
1/1/2007,14215.651,6.214615385,257400,539003.6667,7.666666667,1606.666667,6.25,17724,184.422
1/4/2007,14402.082,6.358461538,242200,521924,7.8,1456.666667,6.25,17547,181.6213333
1/7/2007,14564.117,6.551538462,241800,488432.3333,8.9,1314.333333,5.75,18049,178.2613333
1/10/2007,14715.058,6.224615385,238400,439296,9.166666667,1188.333333,4.916666667,17910,175.37
1/1/2008,14706.538,5.872307692,233900,400027.3333,9.833333333,1025,3.166666667,18642,171.5756667
1/4/2008,14865.701,6.086923077,235300,388045.3333,10.56666667,1061,2.25,18701,166.6723333
1/7/2008,14898.999,6.322307692,226500,360447.6667,10.9,858.6666667,2.25,18651,161.9543333
1/10/2008,14608.208,5.841428571,222500,319480,11.4,638.6666667,1,18973,156.0286667
1/1/2009,14430.901,5.06,208400,276721.3333,11.23333333,538.6666667,0.5,19137,150.06
1/4/2009,14381.236,5.012307692,220900,246953.3333,9.5,559.3333333,0.5,18752,147.9113333
1/7/2009,14448.882,5.162307692,214300,257975,7.733333333,606.6666667,0.5,18996,148.237
1/10/2009,14651.248,4.922142857,219000,263932.3333,7.666666667,623.3333333,0.5,19006,147.97
1/1/2010,14764.611,4.995833333,222900,263516.3333,7.833333333,657.6666667,0.666666667,19126,146.295
1/4/2010,14980.193,4.922307692,219500,262938.3333,7.933333333,599.6666667,0.75,19022,146.1713333
1/7/2010,15141.605,4.447142857,224100,251115.3333,8.433333333,574,0.75,18933,143.973
1/10/2010,15309.471,4.436153846,224300,248572.6667,7.8,583.3333333,0.75,18551,142.254
1/1/2011,15351.444,4.846923077,226900,250635,7.533333333,567,0.75,18998,140.618
1/4/2011,15557.535,4.650769231,228100,254937.3333,6.633333333,611.6666667,0.75,18843,139.9243333
1/7/2011,15647.681,4.291538462,223500,258663.3333,6.5,626,0.75,18803,139.2346667
1/10/2011,15842.267,4.002307692,221100,256598.6667,5.666666667,691.3333333,0.75,18389,137.2596667
1/1/2012,16068.824,3.922307692,238400,257335,5,752,0.75,18476,137.0143333
1/4/2012,16207.13,3.794615385,238700,270188,4.8,774,0.75,18519,140.1133333
1/7/2012,16319.54,3.553846154,248800,285750,4.566666667,873,0.75,18149,142.2863333
